Merchantnumber,recency,frequency,monetary_value
62001420300002,5,15,42961004
62001810100003,1,20,91317004
62001820100006,2,5,260350000
62001821200001,27,1,1004
62001821400002,0,51,581641004
62001823200001,2,15,2094501004
62001824200001,3,6,18618000
62001824900001,3,20,378577060
62006362000035,0,28,292501004
62006362000038,0,13,7101004
62006362000039,6,15,29411004
62006362000040,0,7,315001004
62006362000046,0,47,2134146578
62006362000052,0,526,603052509
62006362000053,0,51,58449004
62006362000058,0,5,13902008
62006362000062,1,10,3700001004
62006362000063,0,1711,697713504
62006362000064,0,12,1320002009
62006362000066,0,9,629469798
62006362000070,10,1,1004
62006362000073,1,12,7551004
62006362000077,28,5,20001004
62006362000079,0,94,218301004
62006362000082,4,8,590425004
62006362000086,5,2,101004
62006362000087,1,37,7175981704
62006362000089,6,10,1292531004
62006362000090,1,12,771261004
62006362000095,3,1,1004
62006362000103,25,3,285001004
62006362000106,0,2303,367744504
62006362000120,5,4,1333015
62006362000122,0,472,344101004
62006362000124,0,7,1401001004
62006362000136,1,20,59754504
62006362000137,0,309,1621616004
62006362000143,0,59,531110000
62006362000149,0,62,363661004
62006362000150,0,320,1813685904
62006362000152,0,22,533012004
62006362000156,6,10,188661004
62006362000157,1,307,45268006
62006362000164,3,23,13471004
62006362000172,0,187,225770004
62006362000177,0,25,39469004
62006362000180,13,2,100001004
62006362000183,10,130,71099505
62006362000190,7,10,22646004
62006362000195,0,48,358861004
62006362000200,7,6,128561004
62006362000207,15,3,59501004
62006362000208,3,6,1294004
62006362000216,0,27,17551004
62006362000219,0,103,101399004
62006362000221,0,81,80961004
62006362000222,0,53,180936004
62006362000225,0,3,14004
62006362000226,27,1,1700000
62006362000229,7,1,1004
62006362000230,14,1,1004
62006362000234,0,31,72111004
62006362000237,19,2,2201004
62006362000239,0,440,54420504
62006362000240,8,1,1004
62006362000247,1,5,257661004
62006362000249,7,3,21004
62006362000253,5,5,129801004
62006362000257,3,3,3014
62006362000259,0,77,609801004
62006362000260,1,12,616000607
62006362000263,1,28,2781501004
62006362000264,21,1,1004
62006362000267,0,77,1868402004
62006362000271,7,7,51503015
62006362000273,9,15,27201004
62006362000290,0,61,224199004
62006362000295,0,15,232501004
62006362000300,3,2,501004
62006362000302,0,42,1814505023
62006362000313,0,43,7263201004
62006362000316,0,50,1733811753
62006362000319,19,1,1004
62006362000325,29,1,1004
62006362000326,7,15,611001004
62006362000337,0,37,692351004
62006362000340,5,14,1657101504
62006362000346,0,77,39561004
62006362000348,17,1,1004
62006362000356,0,183,193009004
62006362000359,0,161,102881004
62006362000366,0,18,30316004
62006362000367,5,2,2011
62006362000369,0,22,154215004
62006362000370,0,17,227401004
62006362000385,0,172,233801004
62006362000386,6,64,73011004
62006362000399,0,12,83961004
62006362000400,17,5,760201004
62006362000406,4,6,261391004
62006362000407,0,96,37060004
62006362000412,1,7,1107501004
62006362000416,3,9,406011004
62006362000428,10,6,121001004
62006362000440,19,6,5001004
62006362000443,0,60,56492004
62006362000454,0,53,54142004
62006362000455,1,56,374680004
62006362000464,0,26,1277893012
62006362000467,0,30,955004016
62006362000469,1,43,723444016
62006362000470,17,2,2008
62006362000477,1,27,18150000
62006362000489,5,6,100054016
62006362000490,5,4,4016
62006362000491,4,21,323434831
62006362000492,1,219,174542004
62006362000501,1,14,44171004
62006362000541,25,3,4421004
62006362000542,0,196,109702009
62006362000543,0,29,132551004
62006362000544,0,86,54221004
62006362000550,0,126,834234016
62006362000551,5,14,4028754016
62006362000552,1,12,170003014
62006362000558,0,25,42034016
62006362000573,3,6,28941004
62006362000580,4,14,4071001004
62006362000584,4,9,822200000
62006362000589,7,1,1004
62006362000590,0,43,6027752504
62006362000591,3,13,662261004
62006362000592,0,774,184657240
62006362000596,0,1,1004
62006362000603,0,745,308492017
62006362000604,12,45,24641004
62006362000620,1,17,173855004
62006362000636,0,37,2106725004
62006362000637,21,1,1004
62006362000642,1,11,13336004
62006362000644,12,6,76001004
62006362000646,11,7,1215001004
62006362000650,4,6,28981004
62006362000655,4,7,57735004
62006362000656,1,125,377985004
62006362000657,13,8,71371004
62006362000658,0,127,5313646264
62006362000662,0,16,688551004
62006362000665,1,40,97162004
62006362000666,0,274,141754004
62006362000674,5,14,1128541004
62006362000676,2,4,261001004
62006362000679,0,71,53330004
62006362000681,27,1,1004
62006362000683,0,147,1067570504
62006362000686,19,1,1004
62006362000691,0,39,229594504
62006362000692,17,11,150091004
62006362000699,3,3,366004
62006362000708,0,2,46004
62006362000711,0,121,21946099329
62006362000716,8,7,210521004
62006362000729,1,2,11001004
62006362000731,5,6,285001004
62006362000736,0,235,142890004
62006362000739,5,65,69212009
62006362000741,27,1,1004
62006362000742,13,1,1004
62006362000743,24,3,522001004
62006362000744,4,28,270004016
62006362000748,1,10,126501004
62006362000749,0,48,673124013
62006362000752,3,40,1850001004
62006362000753,0,173,73476014
62006362000757,0,29,134023768
62006362000758,1,2,209501004
62006362000759,0,25,8221004
62006362000760,0,23,718465004
62006362000767,0,89,11540119698
62006362000769,5,6,40961004
62006362000773,0,29,658591004
62006362000779,0,1224,787207141
62006362000787,0,6,5401004
62006362000790,0,144,104607641
62006362000799,0,91,97433004
