Merchantnumber,recency,frequency,monetary_value
062001420300002,1,72,157154017
062001810100003,3,65,165036012
062001820100006,14,21,1016701004
062001821200001,24,3,3012
062001821400002,3,170,901383012
062001823200001,8,64,4632503012
062001824200001,3,31,298097500
062001824900001,10,50,1253397570
062006362000035,1,107,784753012
062006362000038,1,51,45533012
062006362000039,1,100,133203012
062006362000040,3,22,908303012
062006362000046,1,180,6804437668
062006362000052,1,1485,1730506054
062006362000053,1,130,154089721
062006362000058,5,15,42604016
062006362000062,3,33,9350003012
062006362000063,1,2962,1779851512
062006362000064,3,35,2592304017
062006362000066,1,24,1307321806
062006362000070,9,2,2008
062006362000073,3,36,39638012
062006362000077,1,14,331403012
062006362000079,1,342,733153012
062006362000082,8,16,1002427012
062006362000086,3,9,2103012
062006362000087,1,118,19321342002
062006362000089,5,27,2023026621
062006362000090,5,74,5507483012
062006362000095,3,7,3144008
062006362000103,5,16,1034803012
062006362000106,1,6845,1144371312
062006362000120,1,34,392975023
062006362000122,1,1503,1132256026
062006362000124,31,11,1568003012
062006362000129,85,13,13751004
062006362000131,1,1,1004
062006362000136,14,35,168794512
062006362000137,1,1298,3486882012
062006362000143,1,245,1680866000
062006362000149,1,193,1004697769
062006362000150,1,955,5062123572
062006362000152,1,104,1069230035
062006362000156,1,73,368158012
062006362000157,1,832,127655014
062006362000164,2,105,81100012
062006362000172,1,558,509861390
062006362000177,1,385,494769012
062006362000180,3,8,359653012
062006362000183,29,137,71101513
062006362000190,1,37,81327912
062006362000195,1,157,1773858012
062006362000200,5,35,386688012
062006362000207,7,11,84513012
062006362000208,4,12,1521012
062006362000216,3,109,92648013
062006362000219,1,300,347828025
062006362000221,1,237,182894349
062006362000222,1,165,465222012
062006362000225,22,8,51012
062006362000226,59,7,11901004
062006362000229,9,14,1275003012
062006362000230,23,29,6148012
062006362000234,1,70,575103012
062006362000237,1,18,18593012
062006362000239,1,1218,167852012
062006362000240,24,8,215003012
062006362000247,1,35,3549783012
062006362000249,23,25,188012
062006362000253,7,28,548843314
062006362000257,2,25,213958037
062006362000259,1,266,1929533012
062006362000260,2,28,1204505630
062006362000263,1,93,12075794016
062006362000264,9,5,1003012
062006362000266,80,1,1004
062006362000267,1,300,6169935012
062006362000271,2,22,1046508038
062006362000273,8,53,49803012
062006362000290,1,221,692720512
062006362000295,13,42,495223012
062006362000300,8,29,56793012
062006362000302,1,184,7155000046
062006362000313,5,142,18529593012
062006362000316,1,140,4271586261
062006362000319,26,6,24003012
062006362000325,31,3,3012
062006362000326,1,51,2717393012
062006362000337,1,116,2200894012
062006362000340,15,88,3711279512
062006362000346,2,318,162198012
062006362000348,25,3,3012
062006362000356,1,557,749125712
062006362000359,1,333,244673012
062006362000366,9,42,81541012
062006362000367,4,23,20004019
062006362000369,1,48,379695512
062006362000370,1,71,864733012
062006362000385,1,487,520868012
062006362000386,4,122,330475020
062006362000399,1,36,250763012
062006362000400,1,36,1567843012
062006362000406,19,17,362261012
062006362000407,1,271,70690170
062006362000412,3,35,7439863012
062006362000416,3,46,3129002859
062006362000428,42,9,186002008
062006362000440,17,10,22003012
062006362000443,1,222,194829012
062006362000454,9,147,162398012
062006362000455,1,105,1033094012
062006362000464,1,86,4768898032
062006362000467,1,81,2021159036
062006362000469,4,140,6590230041
062006362000470,1,9,85104016
062006362000477,19,75,34690000
062006362000489,7,13,138059036
062006362000490,7,10,10040
062006362000491,1,106,1656427966
062006362000492,3,371,281240773
062006362000501,2,39,57333012
062006362000541,7,10,6123012
062006362000542,1,414,425704017
062006362000543,1,81,310063012
062006362000544,3,294,180853012
062006362000550,1,382,2256499036
062006362000551,8,23,4636759036
062006362000552,28,23,302985022
062006362000558,1,64,242779036
062006362000573,1,16,60403012
062006362000580,8,43,11879873012
062006362000584,3,54,3672061004
062006362000589,25,3,3012
062006362000590,3,107,10202554512
062006362000591,1,34,1794255012
062006362000592,1,1313,556186248
062006362000596,3,3,3012
062006362000603,28,814,320282025
062006362000604,1,193,127283012
062006362000616,3,2,2008
062006362000620,1,52,811477012
062006362000636,3,114,5573985012
062006362000637,24,43,149233012
062006362000642,2,40,41394012
062006362000644,5,21,199713012
062006362000646,3,20,2190003012
062006362000650,5,18,589053012
062006362000655,26,18,82737012
062006362000656,1,398,1387856016
062006362000657,5,25,534363012
062006362000658,1,422,15773033777
062006362000662,4,56,2603843012
062006362000665,18,102,190191418
062006362000666,4,847,528897012
062006362000674,3,38,3194139017
062006362000676,7,17,645523012
062006362000679,22,132,97993012
062006362000681,4,7,1959216
062006362000683,1,429,2792649306
062006362000686,5,12,196403012
062006362000691,1,196,590294712
062006362000692,22,13,150093012
062006362000699,3,10,12478012
062006362000708,15,12,14015012
062006362000711,1,410,70196123331
062006362000716,5,44,715813012
062006362000729,1,18,114315567
062006362000731,4,29,885593012
062006362000736,1,689,400907012
062006362000739,7,199,186644017
062006362000741,28,38,17319012
062006362000742,1,281,81304087
062006362000743,12,11,923368012
062006362000744,8,79,708009036
062006362000748,1,45,420803012
062006362000749,1,301,2351761807
062006362000752,2,106,10430528012
062006362000753,3,423,454488972
062006362000757,3,104,525852731
062006362000758,19,5,659503012
062006362000759,1,83,27298012
062006362000760,1,58,2153667512
062006362000767,3,293,43562299896
062006362000769,26,19,240281008
062006362000773,3,90,1436643012
062006362000779,1,4183,2665171883
062006362000787,14,142,180254012
062006362000790,1,353,253753836
062006362000799,9,287,357880012
062006362000802,15,1404,967112012
062006362000814,1,402,149945800
062006362000815,1,365,425128012
062006362000824,1,120,4266984012
062006362000827,2,204,3780082504
062006362000831,2,218,83743017
062006362000833,28,4,103012
062006362000837,5,64,6285153012
062006362000863,1,128,2089405012
062006362000869,4,134,1300094012
062006362000870,2,43,62143012
062006362000872,26,3,3012
062006362000878,1,103,432666012
062006362000902,2,57,29033012
062006362000912,14,253,64703012
062006362000913,3,80,7908031532
062006362000925,1,66,271146012
062006362000940,1,80,4971521012
062006362000948,30,4,3003012
062006362000962,16,26,930574016
062006362000963,1,155,273782443
062006362000964,7,22,92503012
062006362000969,18,101,432265016
062006362000970,3,66,247429012
062006362000987,1,41,48883012
062006362001000,30,5,9858012
062006362001001,1,111,543401012
062006362001012,7,69,550742806
062006362001017,1,7,260004016
062006362001018,2,41,186309016
062006362001023,71,1,1004
062006362001024,2,18,172030046
062006362001025,1,58,1131055020
062006362001040,1,271,157277012
062006362001072,3,353,2527090600
062006362001102,24,3,3012
062006362001112,1,720,132733012
062006362001113,1,988,962659012
062006362001114,1,477,2609408012
062006362001116,5,39,262540224
062006362001143,10,126,46084541
062006362001144,1,1235,125124012
062006362001149,9,17,31012
062006362001150,1,105,14051271472
062006362001157,7,23,10633012
062006362001161,3,36,2125138012
062006362001162,1,106,1848243012
062006362001164,3,98,6400543012
062006362001166,2,62,312193012
062006362001167,3,37,414890000
062006362001176,2,44,1373563163
062006362001177,2,9,526877008
062006362001180,3,321,1303030012
062006362001201,1,844,731632012
062006362001213,26,3,3012
062006362001227,1,139,3965823012
062006362001235,2,27,62753012
062006362001237,1,304,471612014
062006362001239,14,14,2138012
062006362001241,1,44,205052008
062006362001249,3,189,34168371
062006362001252,1,287,130313012
062006362001261,3,44,290823012
062006362001262,1,282,265003262
062006362001275,1,79,1177603012
062006362001280,7,45,1196262616
062006362001281,7,18,611529036
062006362001285,1,90,69753012
062006362001319,21,5,4016
062006362001320,7,21,262763012
062006362001334,3,3,3012
062006362001350,9,11,4073012
062006362001368,1,570,3018823012
062006362001389,1,167,640046012
062006362001394,1,601,337110021
062006362001398,1,1103,599087095
062006362001400,1,851,201189012
062006362001404,3,37,2603012
