Merchantnumber,recency,frequency,monetary_value
62001420300002,3,2,11004
62001810100003,2,27,21349511
62001820100006,2,8,714321004
62001821200001,8,4,13008
62001821400002,0,47,297131004
62001823200001,9,5,305002016
62001823700002,4,2,11004
62001824200001,21,2,1216000
62001824900001,3,30,4051872509
62006362000035,2,49,540201004
62006362000038,5,7,6411004
62006362000039,20,15,95001004
62006362000040,0,27,1813352004
62006362000046,2,100,4562477354
62006362000052,0,456,573098103
62006362000053,1,12,93031004
62006362000058,2,12,222441004
62006362000062,3,13,1748920099
62006362000063,0,40,238905004
62006362000064,2,41,3209501004
62006362000066,0,22,1280871004
62006362000070,6,118,634911004
62006362000073,4,13,2871004
62006362000076,4,2,11004
62006362000077,1,138,1238813986
62006362000079,1,88,205801004
62006362000082,3,7,708631004
62006362000084,19,13,7398015
62006362000086,24,1,1004
62006362000087,2,38,4936644649
62006362000089,3,10,548350365
62006362000090,5,17,976951004
62006362000095,5,5,1200501004
62006362000103,4,8,410431004
62006362000106,0,1723,498889004
62006362000120,0,33,31731004
62006362000122,9,345,227101004
62006362000124,1,11,1440921004
62006362000129,0,121,214451004
62006362000136,0,46,79835004
62006362000137,0,180,459801004
62006362000143,1,95,1656822226
62006362000149,0,53,353111084
62006362000150,0,533,2140603107
62006362000152,0,78,501228004
62006362000156,0,37,593921004
62006362000164,4,15,25431004
62006362000172,11,116,93499004
62006362000177,0,136,170447004
62006362000180,28,1,1004
62006362000183,4,26,8539004
62006362000190,7,11,4590512
62006362000195,0,48,336631004
62006362000200,4,7,148909004
62006362000207,8,14,908371004
62006362000208,2,7,1161004
62006362000216,3,29,9686004
62006362000219,9,69,83960004
62006362000221,0,141,145212009
62006362000222,0,49,20590004
62006362000225,19,1,1004
62006362000226,3,4,6471004
62006362000229,0,5,200632013
62006362000230,0,41,13773500
62006362000234,9,20,28811004
62006362000237,2,6,5171004
62006362000239,0,343,53915504
62006362000240,2,9,484001004
62006362000247,0,23,1355518004
62006362000249,14,1,1004
62006362000253,10,7,671004
62006362000257,8,22,382301004
62006362000259,0,98,901265004
62006362000260,5,8,237001004
62006362000263,1,27,1941512004
62006362000264,24,5,14701004
62006362000266,1,5,10801004
62006362000267,10,33,523227004
62006362000271,12,10,1142001004
62006362000273,13,12,5561004
62006362000290,2,53,106376004
62006362000295,0,16,894961004
62006362000300,3,4,5241004
62006362000302,12,3,3012
62006362000313,2,29,3830961004
62006362000316,2,33,1149051004
62006362000319,12,3,12101004
62006362000325,25,1,1004
62006362000326,2,22,1947501004
62006362000330,15,1,1004
62006362000337,0,203,864558004
62006362000340,3,29,1611231004
62006362000346,5,80,99115000
62006362000348,8,2,11004
62006362000356,0,251,251388004
62006362000359,0,92,302943008
62006362000366,5,20,36146004
62006362000367,3,48,60861004
62006362000369,2,26,337503004
62006362000370,2,11,242751004
62006362000385,0,106,143781004
62006362000386,4,5,7631004
62006362000399,15,19,92200000
62006362000400,0,28,2660001004
62006362000406,4,25,2315031004
62006362000407,0,100,52651004
62006362000412,1,6,2050001004
62006362000416,0,31,3333940004
62006362000428,0,43,609951004
62006362000440,10,5,10001004
62006362000443,0,147,196121004
62006362000454,2,30,20491004
62006362000455,3,69,243463004
62006362000464,1,8,554501004
62006362000467,1,54,1058002008
62006362000469,0,38,606201004
62006362000470,23,1,1004
62006362000477,0,21,50501004
62006362000481,4,6,157003104
62006362000483,2,6,316402009
62006362000489,7,7,942701004
62006362000490,11,2,201004
62006362000491,4,29,92437460
62006362000492,1,289,276558216
62006362000501,0,80,279271004
62006362000541,9,4,159001004
62006362000542,11,94,47201004
62006362000543,0,33,304241004
62006362000544,0,94,74761004
62006362000550,0,98,1072762099
62006362000551,0,10,868602099
62006362000552,5,15,98641004
62006362000558,0,78,421481004
62006362000573,0,124,2350541004
62006362000580,2,9,896301004
62006362000584,5,2,14000000
62006362000590,2,46,6485151004
62006362000591,4,12,583431004
62006362000592,7,38,106038004
62006362000596,0,329,197396004
62006362000603,8,593,256641004
62006362000604,0,189,138181004
62006362000616,4,1,1004
62006362000619,11,105,309546584
62006362000620,5,14,103641004
62006362000636,2,16,307601004
62006362000637,1,56,169054004
62006362000642,4,13,22401004
62006362000644,3,3,120001004
62006362000646,4,11,700341004
62006362000650,13,8,184851004
62006362000655,12,4,3301004
62006362000656,0,151,609594004
62006362000657,7,2,1001004
62006362000658,0,173,5144664004
62006362000662,3,18,1441601004
62006362000665,1,45,89386004
62006362000666,0,58,30651004
62006362000674,2,20,1340991004
62006362000676,3,30,780022004
62006362000679,0,121,121250004
62006362000681,4,6,10001004
62006362000683,9,11,85452004
62006362000686,1,4,1051004
62006362000691,2,30,180055004
62006362000692,11,4,264001004
62006362000696,24,1,1004
62006362000699,11,12,9940004
62006362000708,16,4,123561004
62006362000710,21,1,1004
62006362000711,1,139,26615372006
62006362000716,3,14,917501004
62006362000729,0,19,203970919
62006362000731,4,2,50001004
62006362000736,2,91,46311004
62006362000739,8,2,11004
62006362000741,0,25,86011004
62006362000743,3,4,20051004
62006362000744,0,5,18002004
62006362000748,4,4,370001004
62006362000749,0,71,2476914000
62006362000752,4,36,1811951004
62006362000753,0,63,88997504
62006362000757,3,44,102512404
62006362000758,0,10,625002099
62006362000759,0,43,13241004
62006362000760,2,25,3328701004
62006362000767,0,132,20506389147
62006362000769,2,17,115042008
62006362000773,0,39,442851004
62006362000779,0,167,583588827
62006362000787,2,210,415592099
62006362000790,3,80,85621535
62006362000799,0,84,84712099
62006362000802,0,770,481105004
62006362000814,0,223,139136004
62006362000815,1,110,145471092
62006362000824,0,27,1721245004
62006362000827,0,383,2607482008
62006362000831,0,40,15261004
62006362000833,4,8,129801004
62006362000837,5,8,56392099
62006362000863,2,65,1031212604
62006362000869,19,4,150003103
62006362000870,3,811,304351004
62006362000872,0,12,20051004
62006362000878,2,43,205050004
62006362000902,0,42,30641004
62006362000912,19,1,1004
62006362000913,2,15,1100476004
62006362000925,6,7,6489004
62006362000940,0,126,5005480004
62006362000948,0,33,39761004
62006362000962,2,18,1346511004
62006362000963,0,88,165909008
62006362000964,0,30,115001004
62006362000969,19,1,1004
62006362000970,7,15,688241004
62006362001000,3,28,434586004
62006362001001,1,20,196351004
62006362001012,0,29,54791004
62006362001017,19,1,1004
62006362001018,24,1,1004
62006362001024,3,75,1890952012
62006362001025,2,38,502891004
62006362001040,0,67,107872009
62006362001072,7,58,367411004
62006362001099,2,12,3363940000
62006362001102,28,1,1004
62006362001112,2,166,175007798
62006362001113,0,7,189631004
62006362001114,0,73,3949580075
62006362001116,1,16,87302008
62006362001143,14,1,1004
62006362001144,0,21,140261004
62006362001149,2,12,648001004
62006362001150,2,19,3210078004
62006362001157,16,36,20591004
62006362001161,11,17,82831004
62006362001162,3,16,347321004
62006362001164,2,28,2376951004
62006362001166,1,35,314149004
62006362001167,1,10,133100000
62006362001176,5,6,195001004
62006362001177,7,8,324241004
62006362001180,3,195,623217004
62006362001201,0,255,125654008
62006362001213,9,2,11004
62006362001219,5,1,1004
62006362001220,9,8,2786004
62006362001227,2,60,1704312099
62006362001235,1,2,271004
62006362001237,0,211,177471004
