,Merchantnumber,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,R_Quintuple,F_Quintuple,M_Quintuple
0,62001420300002,1,72,157154017,1,2,2,122,1,3,4
1,62001810100003,3,65,165036012,3,3,2,332,3,3,4
2,62001820100006,14,21,1016701004,4,3,1,431,5,2,5
3,62001821200001,24,3,3012,4,4,4,444,5,1,1
4,62001821400002,3,170,901383012,3,2,1,321,3,4,5
5,62001823200001,8,64,4632503012,3,3,1,331,4,3,5
6,62001824200001,3,31,298097500,3,3,2,332,3,2,4
7,62001824900001,10,50,1253397570,4,3,1,431,4,3,5
8,62006362000035,1,107,784753012,1,2,1,121,1,4,5
9,62006362000038,1,51,45533012,1,3,3,133,1,3,3
10,62006362000039,1,100,133203012,1,2,2,122,1,4,3
11,62006362000040,3,22,908303012,3,3,1,331,3,2,5
12,62006362000046,1,180,6804437668,1,2,1,121,1,4,5
13,62006362000052,1,1485,1730506054,1,1,1,111,1,5,5
14,62006362000053,1,130,154089721,1,2,2,122,1,4,4
15,62006362000058,5,15,42604016,3,4,3,343,4,2,2
16,62006362000062,3,33,9350003012,3,3,1,331,3,2,5
17,62006362000063,1,2962,1779851512,1,1,1,111,1,5,5
18,62006362000064,3,35,2592304017,3,3,1,331,3,2,5
19,62006362000066,1,24,1307321806,1,3,1,131,1,2,5
20,62006362000070,9,2,2008,4,4,4,444,4,1,1
21,62006362000073,3,36,39638012,3,3,3,333,3,2,2
22,62006362000077,1,14,331403012,1,4,2,142,1,1,4
23,62006362000079,1,342,733153012,1,1,1,111,1,5,5
24,62006362000082,8,16,1002427012,3,4,1,341,4,2,5
25,62006362000086,3,9,2103012,3,4,4,344,3,1,1
26,62006362000087,1,118,19321342002,1,2,1,121,1,4,5
27,62006362000089,5,27,2023026621,3,3,1,331,4,2,5
28,62006362000090,5,74,5507483012,3,2,1,321,4,3,5
29,62006362000095,3,7,3144008,3,4,4,344,3,1,1
30,62006362000103,5,16,1034803012,3,4,1,341,4,2,5
31,62006362000106,1,6845,1144371312,1,1,1,111,1,5,5
32,62006362000120,1,34,392975023,1,3,1,131,1,2,4
33,62006362000122,1,1503,1132256026,1,1,1,111,1,5,5
34,62006362000124,31,11,1568003012,4,4,1,441,5,1,5
35,62006362000129,85,13,13751004,4,4,3,443,5,1,2
36,62006362000131,1,1,1004,1,4,4,144,1,1,1
37,62006362000136,14,35,168794512,4,3,2,432,5,2,4
38,62006362000137,1,1298,3486882012,1,1,1,111,1,5,5
39,62006362000143,1,245,1680866000,1,1,1,111,1,4,5
40,62006362000149,1,193,1004697769,1,1,1,111,1,4,5
41,62006362000150,1,955,5062123572,1,1,1,111,1,5,5
42,62006362000152,1,104,1069230035,1,2,1,121,1,4,5
43,62006362000156,1,73,368158012,1,2,1,121,1,3,4
44,62006362000157,1,832,127655014,1,1,2,112,1,5,3
45,62006362000164,2,105,81100012,2,2,3,223,3,4,3
46,62006362000172,1,558,509861390,1,1,1,111,1,5,5
47,62006362000177,1,385,494769012,1,1,1,111,1,5,5
48,62006362000180,3,8,359653012,3,4,1,341,3,1,4
49,62006362000183,29,137,71101513,4,2,3,423,5,4,3
50,62006362000190,1,37,81327912,1,3,3,133,1,2,3
51,62006362000195,1,157,1773858012,1,2,1,121,1,4,5
52,62006362000200,5,35,386688012,3,3,1,331,4,2,4
53,62006362000207,7,11,84513012,3,4,2,342,4,1,3
54,62006362000208,4,12,1521012,3,4,4,344,3,1,1
55,62006362000216,3,109,92648013,3,2,2,322,3,4,3
56,62006362000219,1,300,347828025,1,1,1,111,1,5,4
57,62006362000221,1,237,182894349,1,1,2,112,1,4,4
58,62006362000222,1,165,465222012,1,2,1,121,1,4,4
59,62006362000225,22,8,51012,4,4,4,444,5,1,1
60,62006362000226,59,7,11901004,4,4,4,444,5,1,2
61,62006362000229,9,14,1275003012,4,4,1,441,4,1,5
62,62006362000230,23,29,6148012,4,3,4,434,5,2,1
63,62006362000234,1,70,575103012,1,2,1,121,1,3,5
64,62006362000237,1,18,18593012,1,4,3,143,1,2,2
65,62006362000239,1,1218,167852012,1,1,2,112,1,5,4
66,62006362000240,24,8,215003012,4,4,2,442,5,1,4
67,62006362000247,1,35,3549783012,1,3,1,131,1,2,5
68,62006362000249,23,25,188012,4,3,4,434,5,2,1
69,62006362000253,7,28,548843314,3,3,1,331,4,2,5
